,Model No.,genome,Parameters,Training Accuracy,Validation Accuracy,Test Accuracy
82,83,RC 120 2 gelu; NC 52 2 swish ;RC 120 2 gelu ;NC 52 2 swish ;FL gelu,79746.0,0.8998333215713501,0.8922500014305115,0.8652999997138977
83,84,RC 4 2 tanh; NC 48 2 tanh ;RC 4 2 tanh ;NC 48 2 tanh ;FL tanh,6210.0,0.7936041951179504,0.7905833125114441,0.7793999910354614
84,85,RC 56 2 relu; NC 16 2 swish ;RC 56 2 relu ;NC 16 2 swish ;FL sigmoid,12858.0,0.833020806312561,0.8345000147819519,0.8345999717712402
85,86,RC 60 2 tanh; NC 84 2 swish ;RC 60 2 tanh ;NC 84 2 swish ;FL swish,67098.0,0.8945416808128357,0.8888333439826965,0.8845000267028809
86,87,RC 72 2 relu; NC 56 2 relu ;RC 72 2 relu ;NC 56 2 relu ;FL swish,53226.0,0.8945624828338623,0.8920833468437195,0.8889999985694885
87,88,RC 64 2 swish; NC 112 2 gelu ;RC 64 2 swish ;NC 112 2 gelu ;FL relu,94506.0,0.9065625071525574,0.8982499837875366,0.8939999938011169
88,89,RC 68 2 sigmoid; NC 92 2 relu ;RC 68 2 sigmoid ;NC 92 2 relu ;FL relu,82266.0,0.8432291746139526,0.8460833430290222,0.8375999927520752
89,90,RC 20 2 swish; NC 32 2 sigmoid ;RC 20 2 swish ;NC 32 2 sigmoid ;FL tanh,10626.0,0.8070416450500488,0.8117499947547913,0.8043000102043152
90,91,RC 12 2 tanh; NC 124 2 swish ;RC 12 2 tanh ;NC 124 2 swish ;FL gelu,26826.0,0.8542291522026062,0.8512499928474426,0.8399999737739563
91,92,RC 108 2 relu; NC 24 2 relu ;RC 108 2 relu ;NC 24 2 relu ;FL swish,34050.0,0.8853958249092102,0.8799166679382324,0.876800000667572
92,93,RC 24 2 swish; NC 56 2 gelu ;RC 24 2 swish ;NC 56 2 gelu ;FL tanh,20682.0,0.8746458292007446,0.875,0.8675000071525574
93,94,RC 108 2 gelu; NC 88 2 relu ;RC 108 2 gelu ;NC 88 2 relu ;FL relu,121218.0,0.9088541865348816,0.8958333134651184,0.8966000080108643
94,95,RC 76 2 gelu; NC 72 2 sigmoid ;RC 76 2 gelu ;NC 72 2 sigmoid ;FL relu,71586.0,0.8551458120346069,0.8473333120346069,0.8409000039100647
95,96,RC 68 2 relu; NC 60 2 tanh ;RC 68 2 relu ;NC 60 2 tanh ;FL relu,54042.0,0.8881458044052124,0.8792499899864197,0.8781999945640564
96,97,RC 4 2 gelu; NC 36 2 gelu ;RC 4 2 gelu ;NC 36 2 gelu ;FL swish,4842.0,0.8183541893959045,0.8210833072662354,0.8158000111579895
97,98,RC 16 2 sigmoid; NC 32 2 swish ;RC 16 2 sigmoid ;NC 32 2 swish ;FL relu,9066.0,0.7982916831970215,0.7963333129882812,0.7900000214576721
98,99,RC 116 2 swish; NC 32 2 sigmoid ;RC 116 2 swish ;NC 32 2 sigmoid ;FL gelu,48066.0,0.8412291407585144,0.8413333296775818,0.833299994468689
99,100,RC 64 2 swish; NC 84 2 tanh ;RC 64 2 swish ;NC 84 2 tanh ;FL swish,71154.0,0.8870000243186951,0.8830000162124634,0.8705999851226807
